meal_id,meal_name,meal_type,region,cuisine,diet_type,ingredients,serving_size_g,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,source_name,source_type,retrieved_date
IND_MEAL_001,Hot tea (Garam Chai) with Lemonade,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Hot tea (Garam Chai) (150g), Lemonade (100g)",250,45.01,0.61,9.35,0.81,0.02,9.34,33.2,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_002,Instant coffee with Banana milkshake (Kele milkshake),Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Instant coffee (150g), Banana milkshake (Kele milkshake) (100g)",250,100.05,2.8,14.62,3.5,0.26,13.39,20.99,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_003,Espreso coffee with Cheese and chilli sandwich,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Espreso coffee (150g), Cheese and chilli sandwich (100g)",250,295.42,9.43,37.33,12.99,2.08,12.18,458.47,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_004,Iced tea with Rainbow sandwich,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Iced tea (150g), Rainbow sandwich (100g)",250,288.26,7.79,38.31,12.55,2.1,8.1,612.84,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_005,Raw mango drink (Aam panna) with Egg and tomato sandwich (Ande aur tamatar ka sandwich),Dessert,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Raw mango drink (Aam panna) (150g), Egg and tomato sandwich (Ande aur tamatar ka sandwich) (100g)",250,275.99,7.9,39.48,10.55,2.69,13.32,542.99,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_006,Fruit Punch (with fresh juices) with Pea keema sandwich (toasted) (Matar aur keema ka sandwich),Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Fruit Punch (with fresh juices) (150g), Pea keema sandwich (toasted) (Matar aur keema ka sandwich) (100g)",250,225.96,11.27,34.33,5.66,2.54,15.81,294.01,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_007,Fruit Punch (with squashes) with Rice flakes (Chiwda/Aval),Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Fruit Punch (with squashes) (150g), Rice flakes (Chiwda/Aval) (100g)",250,147.13,3.73,24.55,4.02,0.62,16.1,25.79,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_008,Lemonade with Scrambled egg (Ande ki bhurji),Dinner,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Lemonade (150g), Scrambled egg (Ande ki bhurji) (100g)",250,187.17,10.33,9.57,12.23,0.27,9.29,417.44,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_009,Lem-o-gin with Jam and fruit pancake,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Lem-o-gin (150g), Jam and fruit pancake (100g)",250,194.3,3.91,29.05,7.05,1.41,15.92,135.28,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_010,Cumin infused water (Jeere/Zeere ka pani) with Chicken consomme (Clear chicken soup),Beverage,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Cumin infused water (Jeere/Zeere ka pani) (150g), Chicken consomme (Clear chicken soup) (100g)",250,61.57,11.73,3.98,12.18,2.26,2.73,9238.04,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
